source_match_id,date,team,opponent,tournament,listed_home,neutral,goals_for,goals_against,y_result_ordered,pre_elo,opponent_pre_elo,elo_diff,pre_match_expected_result
22,1882-03-11,England,Scotland,Friendly,FALSE,FALSE,1,5,loss,1495.0131,1630.6137,-135.6006000000002,0.204854
23,1882-03-13,Wales,England,Friendly,TRUE,FALSE,5,3,win,1434.0722,1487.3311,-53.25890000000004,0.566863
23,1882-03-13,England,Wales,Friendly,FALSE,FALSE,3,5,loss,1487.3311,1434.0722,53.25890000000004,0.433137
24,1882-03-25,Scotland,Wales,Friendly,TRUE,FALSE,5,0,win,1638.2957,1447.0663,191.22939999999994,0.842434
24,1882-03-25,Wales,Scotland,Friendly,FALSE,FALSE,0,5,loss,1447.0663,1638.2957,-191.22939999999994,0.157566
25,1883-02-03,England,Wales,Friendly,TRUE,FALSE,5,0,win,1474.337,1440.7637,33.57330000000002,0.683285
25,1883-02-03,Wales,England,Friendly,FALSE,FALSE,0,5,loss,1440.7637,1474.337,-33.57330000000002,0.316715
26,1883-02-24,England,Northern Ireland,Friendly,TRUE,FALSE,7,0,win,1487.0056,1440.301,46.70460000000003,0.699412
26,1883-02-24,Northern Ireland,England,Friendly,FALSE,FALSE,0,7,loss,1440.301,1487.0056,-46.70460000000003,0.300588
27,1883-03-10,England,Scotland,Friendly,TRUE,FALSE,2,3,loss,1500.5321,1644.5983,-144.0662000000002,0.436922
27,1883-03-10,Scotland,England,Friendly,FALSE,FALSE,3,2,win,1644.5983,1500.5321,144.0662000000002,0.563078
28,1883-03-12,Wales,Scotland,Friendly,TRUE,FALSE,0,3,loss,1428.0951,1653.3367,-225.24160000000006,0.327184
28,1883-03-12,Scotland,Wales,Friendly,FALSE,FALSE,3,0,win,1653.3367,1428.0951,225.24160000000006,0.672816
29,1883-03-17,Northern Ireland,Wales,Friendly,TRUE,FALSE,1,1,draw,1426.7745,1416.6437,10.130799999999908,0.653388
29,1883-03-17,Wales,Northern Ireland,Friendly,FALSE,FALSE,1,1,draw,1416.6437,1426.7745,-10.130799999999908,0.346612
30,1884-01-26,Northern Ireland,Scotland,British Home Championship,TRUE,FALSE,0,5,loss,1423.7067,1664.7881,-241.08140000000003,0.307437
30,1884-01-26,Scotland,Northern Ireland,British Home Championship,FALSE,FALSE,5,0,win,1664.7881,1423.7067,241.08140000000003,0.692563
31,1884-02-09,Wales,Northern Ireland,British Home Championship,TRUE,FALSE,6,0,win,1419.7115,1405.2605,14.450999999999794,0.658998
31,1884-02-09,Northern Ireland,Wales,British Home Championship,FALSE,FALSE,0,6,loss,1405.2605,1419.7115,-14.450999999999794,0.341002
32,1884-02-23,Northern Ireland,England,British Home Championship,TRUE,FALSE,1,8,loss,1383.5216,1491.7937,-108.27209999999991,0.488098
32,1884-02-23,England,Northern Ireland,British Home Championship,FALSE,FALSE,8,1,win,1491.7937,1383.5216,108.27209999999991,0.511902
33,1884-03-15,Scotland,England,British Home Championship,TRUE,FALSE,1,0,win,1683.2343,1524.7403,158.49400000000014,0.81578
33,1884-03-15,England,Scotland,British Home Championship,FALSE,FALSE,0,1,loss,1524.7403,1683.2343,-158.49400000000014,0.18422
34,1884-03-17,Wales,England,British Home Championship,TRUE,FALSE,0,4,loss,1441.4504,1519.2137,-77.76330000000007,0.531958
34,1884-03-17,England,Wales,British Home Championship,FALSE,FALSE,4,0,win,1519.2137,1441.4504,77.76330000000007,0.468042
35,1884-03-29,Scotland,Wales,British Home Championship,TRUE,FALSE,4,1,win,1688.7609,1411.5278,277.2330999999999,0.897663
35,1884-03-29,Wales,Scotland,British Home Championship,FALSE,FALSE,1,4,loss,1411.5278,1688.7609,-277.2330999999999,0.102337
36,1885-02-28,England,Northern Ireland,British Home Championship,TRUE,FALSE,4,0,win,1549.1363,1350.575,198.56129999999985,0.847956
36,1885-02-28,Northern Ireland,England,British Home Championship,FALSE,FALSE,0,4,loss,1350.575,1549.1363,-198.56129999999985,0.152044
37,1885-03-14,England,Wales,British Home Championship,TRUE,FALSE,1,1,draw,1557.6888,1406.1551,151.53369999999995,0.809682
37,1885-03-14,Wales,England,British Home Championship,FALSE,FALSE,1,1,draw,1406.1551,1557.6888,-151.53369999999995,0.190318
38,1885-03-14,Scotland,Northern Ireland,British Home Championship,TRUE,FALSE,8,2,win,1694.1336,1342.0225,352.11109999999985,0.931026
38,1885-03-14,Northern Ireland,Scotland,British Home Championship,FALSE,FALSE,2,8,loss,1342.0225,1694.1336,-352.11109999999985,0.068974
39,1885-03-21,England,Scotland,British Home Championship,TRUE,FALSE,1,1,draw,1548.3983,1698.5307,-150.13239999999996,0.42835
39,1885-03-21,Scotland,England,British Home Championship,FALSE,FALSE,1,1,draw,1698.5307,1548.3983,150.13239999999996,0.57165
40,1885-03-23,Wales,Scotland,British Home Championship,TRUE,FALSE,1,8,loss,1415.4456,1696.3812,-280.9356,0.260851
40,1885-03-23,Scotland,Wales,British Home Championship,FALSE,FALSE,8,1,win,1696.3812,1415.4456,280.9356,0.739149
41,1885-04-11,Northern Ireland,Wales,British Home Championship,TRUE,FALSE,2,8,loss,1337.6254,1397.8381,-60.21270000000004,0.55701
41,1885-04-11,Wales,Northern Ireland,British Home Championship,FALSE,FALSE,8,2,win,1397.8381,1337.6254,60.21270000000004,0.44299
42,1885-11-28,United States,Canada,Friendly,TRUE,FALSE,0,1,loss,1500,1500,0,0.640065
42,1885-11-28,Canada,United States,Friendly,FALSE,FALSE,1,0,win,1500,1500,0,0.359935
43,1886-02-27,Wales,Northern Ireland,British Home Championship,TRUE,FALSE,5,0,win,1433.3475,1302.116,131.2315000000001,0.791018
43,1886-02-27,Northern Ireland,Wales,British Home Championship,FALSE,FALSE,0,5,loss,1302.116,1433.3475,-131.2315000000001,0.208982
44,1886-03-13,Northern Ireland,England,British Home Championship,TRUE,FALSE,1,6,loss,1289.5771,1550.5478,-260.9707000000001,0.283611
44,1886-03-13,England,Northern Ireland,British Home Championship,FALSE,FALSE,6,1,win,1550.5478,1289.5771,260.9707000000001,0.716389
45,1886-03-20,Northern Ireland,Scotland,British Home Championship,TRUE,FALSE,2,7,loss,1272.5605,1713.9887,-441.42820000000006,0.122882
45,1886-03-20,Scotland,Northern Ireland,British Home Championship,FALSE,FALSE,7,2,win,1713.9887,1272.5605,441.42820000000006,0.877118
46,1886-03-27,Scotland,England,British Home Championship,TRUE,FALSE,1,1,draw,1721.3616,1567.5644,153.79719999999998,0.811682
46,1886-03-27,England,Scotland,British Home Championship,FALSE,FALSE,1,1,draw,1567.5644,1721.3616,-153.79719999999998,0.188318
47,1886-03-29,Wales,England,British Home Championship,TRUE,FALSE,1,3,loss,1445.8864,1576.9148,-131.02839999999992,0.455465
47,1886-03-29,England,Wales,British Home Championship,FALSE,FALSE,3,1,win,1576.9148,1445.8864,131.02839999999992,0.544535
48,1886-04-10,Scotland,Wales,British Home Championship,TRUE,FALSE,4,1,win,1712.0112,1425.3905,286.62069999999994,0.902522
48,1886-04-10,Wales,Scotland,British Home Championship,FALSE,FALSE,1,4,loss,1425.3905,1712.0112,-286.62069999999994,0.097478
49,1886-11-25,United States,Canada,Friendly,TRUE,FALSE,3,2,win,1487.1987,1512.8013,-25.602600000000166,0.605459
49,1886-11-25,Canada,United States,Friendly,FALSE,FALSE,2,3,loss,1512.8013,1487.1987,25.602600000000166,0.394541
50,1887-02-05,England,Northern Ireland,British Home Championship,TRUE,FALSE,7,0,win,1597.4107,1265.1876,332.22309999999993,0.923302
50,1887-02-05,Northern Ireland,England,British Home Championship,FALSE,FALSE,0,7,loss,1265.1876,1597.4107,-332.22309999999993,0.076698
51,1887-02-19,Scotland,Northern Ireland,British Home Championship,TRUE,FALSE,4,1,win,1717.1288,1260.0105,457.11829999999986,0.961098
51,1887-02-19,Northern Ireland,Scotland,British Home Championship,FALSE,FALSE,1,4,loss,1260.0105,1717.1288,-457.11829999999986,0.038902
52,1887-02-26,England,Wales,British Home Championship,TRUE,FALSE,4,0,win,1602.5878,1420.2729,182.31490000000008,0.835502
52,1887-02-26,Wales,England,British Home Championship,FALSE,FALSE,0,4,loss,1420.2729,1602.5878,-182.31490000000008,0.164498
53,1887-03-12,Northern Ireland,Wales,British Home Championship,TRUE,FALSE,4,1,win,1257.9681,1411.0199,-153.05179999999996,0.42424
53,1887-03-12,Wales,Northern Ireland,British Home Championship,FALSE,FALSE,1,4,loss,1411.0199,1257.9681,153.05179999999996,0.57576
54,1887-03-19,England,Scotland,British Home Championship,TRUE,FALSE,2,3,loss,1611.8408,1719.1712,-107.33040000000005,0.489452
54,1887-03-19,Scotland,England,British Home Championship,FALSE,FALSE,3,2,win,1719.1712,1611.8408,107.33040000000005,0.510548
55,1887-03-21,Wales,Scotland,British Home Championship,TRUE,FALSE,0,2,loss,1380.7925,1733.8548,-353.06230000000005,0.188966
55,1887-03-21,Scotland,Wales,British Home Championship,FALSE,FALSE,2,0,win,1733.8548,1380.7925,353.06230000000005,0.811034
56,1888-02-04,England,Wales,British Home Championship,TRUE,FALSE,5,1,win,1597.1572,1372.289,224.86820000000012,0.866469
56,1888-02-04,Wales,England,British Home Championship,FALSE,FALSE,1,5,loss,1372.289,1597.1572,-224.86820000000012,0.133531
57,1888-03-03,Wales,Northern Ireland,British Home Championship,TRUE,FALSE,11,0,win,1364.7779,1288.1955,76.5824,0.734288
57,1888-03-03,Northern Ireland,Wales,British Home Championship,FALSE,FALSE,0,11,loss,1288.1955,1364.7779,-76.5824,0.265712
58,1888-03-10,Scotland,Wales,British Home Championship,TRUE,FALSE,5,1,win,1742.3583,1386.6991,355.65920000000006,0.932326
58,1888-03-10,Wales,Scotland,British Home Championship,FALSE,FALSE,1,5,loss,1386.6991,1742.3583,-355.65920000000006,0.067674
59,1888-03-17,Scotland,England,British Home Championship,TRUE,FALSE,0,5,loss,1746.1649,1604.6683,141.49659999999994,0.800619
59,1888-03-17,England,Scotland,British Home Championship,FALSE,FALSE,5,0,win,1604.6683,1746.1649,-141.49659999999994,0.199381
60,1888-03-24,Northern Ireland,Scotland,British Home Championship,TRUE,FALSE,2,10,loss,1266.2743,1698.1278,-431.85349999999994,0.128947
60,1888-03-24,Scotland,Northern Ireland,British Home Championship,FALSE,FALSE,10,2,win,1698.1278,1266.2743,431.85349999999994,0.871053
61,1888-04-07,Northern Ireland,England,British Home Championship,TRUE,FALSE,1,5,loss,1257.0868,1652.7054,-395.6186,0.154241
61,1888-04-07,England,Northern Ireland,British Home Championship,FALSE,FALSE,5,1,win,1652.7054,1257.0868,395.6186,0.845759
62,1888-09-19,Scotland,Canada,Friendly,TRUE,FALSE,4,0,win,1707.3153,1504.9105,202.40480000000002,0.850786
62,1888-09-19,Canada,Scotland,Friendly,FALSE,FALSE,0,4,loss,1504.9105,1707.3153,-202.40480000000002,0.149214
63,1889-02-23,England,Wales,British Home Championship,TRUE,FALSE,4,1,win,1661.3815,1382.8925,278.48900000000003,0.898326
63,1889-02-23,Wales,England,British Home Championship,FALSE,FALSE,1,4,loss,1382.8925,1661.3815,-278.48900000000003,0.101674
64,1889-03-02,England,Northern Ireland,British Home Championship,TRUE,FALSE,6,1,win,1666.7194,1248.4107,418.30870000000004,0.951829
64,1889-03-02,Northern Ireland,England,British Home Championship,FALSE,FALSE,1,6,loss,1248.4107,1666.7194,-418.30870000000004,0.048171
65,1889-03-09,Scotland,Northern Ireland,British Home Championship,TRUE,FALSE,7,0,win,1712.9108,1245.5204,467.3904,0.96325
65,1889-03-09,Northern Ireland,Scotland,British Home Championship,FALSE,FALSE,0,7,loss,1245.5204,1712.9108,-467.3904,0.03675
66,1889-04-13,England,Scotland,British Home Championship,TRUE,FALSE,2,3,loss,1669.6097,1715.3915,-45.781799999999976,0.577399
66,1889-04-13,Scotland,England,British Home Championship,FALSE,FALSE,3,2,win,1715.3915,1669.6097,45.781799999999976,0.422601
67,1889-04-15,Wales,Scotland,British Home Championship,TRUE,FALSE,0,0,draw,1377.5546,1732.7135,-355.15890000000013,0.187123
67,1889-04-15,Scotland,Wales,British Home Championship,FALSE,FALSE,0,0,draw,1732.7135,1377.5546,355.15890000000013,0.812877
68,1889-04-27,Northern Ireland,Wales,British Home Championship,TRUE,FALSE,1,3,loss,1243.0397,1386.9409,-143.90120000000002,0.437155
68,1889-04-27,Wales,Northern Ireland,British Home Championship,FALSE,FALSE,3,1,win,1386.9409,1243.0397,143.90120000000002,0.562845
69,1890-02-08,Wales,Northern Ireland,British Home Championship,TRUE,TRUE,5,2,win,1406.6129,1223.3677,183.24520000000007,0.741704
69,1890-02-08,Northern Ireland,Wales,British Home Championship,FALSE,TRUE,2,5,loss,1223.3677,1406.6129,-183.24520000000007,0.258296
70,1890-03-15,Northern Ireland,England,British Home Championship,TRUE,FALSE,1,9,loss,1209.8072,1652.2877,-442.4805000000001,0.12223
70,1890-03-15,England,Northern Ireland,British Home Championship,FALSE,FALSE,9,1,win,1652.2877,1209.8072,442.4805000000001,0.87777
71,1890-03-15,Wales,England,British Home Championship,TRUE,FALSE,1,3,loss,1420.1734,1660.9966,-240.82320000000004,0.307753
71,1890-03-15,England,Wales,British Home Championship,FALSE,FALSE,3,1,win,1660.9966,1420.1734,240.82320000000004,0.692247
72,1890-03-22,Scotland,Wales,British Home Championship,TRUE,FALSE,5,0,win,1723.3272,1406.3245,317.0027,0.916862
72,1890-03-22,Wales,Scotland,British Home Championship,FALSE,FALSE,0,5,loss,1406.3245,1723.3272,-317.0027,0.083138
73,1890-03-29,Northern Ireland,Scotland,British Home Championship,TRUE,FALSE,1,4,loss,1201.0983,1728.3155,-527.2171999999998,0.078764
73,1890-03-29,Scotland,Northern Ireland,British Home Championship,FALSE,FALSE,4,1,win,1728.3155,1201.0983,527.2171999999998,0.921236
74,1890-04-05,Scotland,England,British Home Championship,TRUE,FALSE,1,1,draw,1732.4506,1674.8455,57.60509999999999,0.712437
74,1890-04-05,England,Scotland,British Home Championship,FALSE,FALSE,1,1,draw,1674.8455,1732.4506,-57.60509999999999,0.287563
75,1891-02-07,Northern Ireland,Wales,British Home Championship,TRUE,FALSE,7,2,win,1196.9632,1401.3362,-204.37300000000005,0.354156
75,1891-02-07,Wales,Northern Ireland,British Home Championship,FALSE,FALSE,2,7,loss,1401.3362,1196.9632,204.37300000000005,0.645844
76,1891-03-07,England,Wales,British Home Championship,TRUE,FALSE,4,1,win,1681.2186,1362.5856,318.6329999999998,0.917575
76,1891-03-07,Wales,England,British Home Championship,FALSE,FALSE,1,4,loss,1362.5856,1681.2186,-318.6329999999998,0.082425
77,1891-03-07,England,Northern Ireland,British Home Championship,TRUE,FALSE,6,1,win,1685.5459,1235.7138,449.8321000000001,0.959499
77,1891-03-07,Northern Ireland,England,British Home Championship,FALSE,FALSE,1,6,loss,1235.7138,1685.5459,-449.8321000000001,0.040501
78,1891-03-21,Wales,Scotland,British Home Championship,TRUE,FALSE,3,4,loss,1358.2583,1726.0775,-367.81920000000014,0.17629
78,1891-03-21,Scotland,Wales,British Home Championship,FALSE,FALSE,4,3,win,1726.0775,1358.2583,367.81920000000014,0.82371
79,1891-03-28,Scotland,Northern Ireland,British Home Championship,TRUE,FALSE,2,1,win,1731.3662,1233.2837,498.0825,0.969017
79,1891-03-28,Northern Ireland,Scotland,British Home Championship,FALSE,FALSE,1,2,loss,1233.2837,1731.3662,-498.0825,0.030983
80,1891-04-04,England,Scotland,British Home Championship,TRUE,FALSE,2,1,win,1687.976,1732.2957,-44.319699999999784,0.579451
80,1891-04-04,Scotland,England,British Home Championship,FALSE,FALSE,1,2,loss,1732.2957,1687.976,44.319699999999784,0.420549
81,1892-02-27,Wales,Northern Ireland,British Home Championship,TRUE,FALSE,1,1,draw,1352.9696,1232.3542,120.61539999999991,0.780737
81,1892-02-27,Northern Ireland,Wales,British Home Championship,FALSE,FALSE,1,1,draw,1232.3542,1352.9696,-120.61539999999991,0.219263
82,1892-03-05,Northern Ireland,England,British Home Championship,TRUE,FALSE,0,2,loss,1240.7763,1700.5925,-459.8162,0.111921
82,1892-03-05,England,Northern Ireland,British Home Championship,FALSE,FALSE,2,0,win,1700.5925,1240.7763,459.8162,0.888079
83,1892-03-05,Wales,England,British Home Championship,TRUE,FALSE,0,2,loss,1344.5475,1705.6289,-361.08140000000003,0.181993
83,1892-03-05,England,Wales,British Home Championship,FALSE,FALSE,2,0,win,1705.6289,1344.5475,361.08140000000003,0.818007
84,1892-03-19,Northern Ireland,Scotland,British Home Championship,TRUE,FALSE,2,3,loss,1235.7399,1719.6792,-483.9393,0.098844
84,1892-03-19,Scotland,Northern Ireland,British Home Championship,FALSE,FALSE,3,2,win,1719.6792,1235.7399,483.9393,0.901156
85,1892-03-26,Scotland,Wales,British Home Championship,TRUE,FALSE,6,1,win,1722.6445,1336.3578,386.2867000000001,0.942638
85,1892-03-26,Wales,Scotland,British Home Championship,FALSE,FALSE,1,6,loss,1336.3578,1722.6445,-386.2867000000001,0.057362
86,1892-04-02,Scotland,England,British Home Championship,TRUE,FALSE,1,4,loss,1726.0862,1713.8186,12.267599999999902,0.656168
86,1892-04-02,England,Scotland,British Home Championship,FALSE,FALSE,4,1,win,1713.8186,1726.0862,-12.267599999999902,0.343832
87,1893-02-25,England,Northern Ireland,British Home Championship,TRUE,FALSE,6,1,win,1748.2674,1232.7746,515.4928,0.971888
87,1893-02-25,Northern Ireland,England,British Home Championship,FALSE,FALSE,1,6,loss,1232.7746,1748.2674,-515.4928,0.028112
88,1893-03-13,England,Wales,British Home Championship,TRUE,FALSE,6,0,win,1749.9541,1332.9161,417.038,0.951492
88,1893-03-13,Wales,England,British Home Championship,FALSE,FALSE,0,6,loss,1332.9161,1749.9541,-417.038,0.048508
89,1893-03-18,Wales,Scotland,British Home Championship,TRUE,FALSE,0,8,loss,1329.8237,1691.6374,-361.81370000000015,0.181366
89,1893-03-18,Scotland,Wales,British Home Championship,FALSE,FALSE,8,0,win,1691.6374,1329.8237,361.81370000000015,0.818634
