sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
baseball,153456,2024-04-14T17:40:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,31,San Francisco Giants,9,4
baseball,153459,2024-04-14T17:40:00Z,FT,1,MLB,2024,9,Cleveland Guardians,25,New York Yankees,8,7
baseball,153457,2024-04-14T18:10:00Z,FT,1,MLB,2024,7,Chicago White Sox,8,Cincinnati Reds,4,11
baseball,153460,2024-04-14T18:10:00Z,FT,1,MLB,2024,15,Houston Astros,35,Texas Rangers,8,5
baseball,153461,2024-04-14T20:07:00Z,FT,1,MLB,2024,26,Oakland Athletics,37,Washington Nationals,7,6
baseball,153458,2024-04-14T20:10:00Z,FT,1,MLB,2024,2,Arizona Diamondbacks,33,St.Louis Cardinals,5,0
baseball,153463,2024-04-14T20:10:00Z,FT,1,MLB,2024,32,Seattle Mariners,6,Chicago Cubs,2,3
baseball,153462,2024-04-14T23:10:00Z,FT,1,MLB,2024,18,Los Angeles Dodgers,30,San Diego Padres,3,6
baseball,153464,2024-04-15T15:10:00Z,FT,1,MLB,2024,5,Boston Red Sox,9,Cleveland Guardians,0,6
baseball,153467,2024-04-15T22:35:00Z,FT,1,MLB,2024,4,Baltimore Orioles,22,Minnesota Twins,7,4
baseball,153468,2024-04-15T22:40:00Z,FT,1,MLB,2024,12,Detroit Tigers,35,Texas Rangers,0,1
baseball,153469,2024-04-15T22:40:00Z,FT,1,MLB,2024,19,Miami Marlins,31,San Francisco Giants,3,4
baseball,153470,2024-04-15T22:40:00Z,FT,1,MLB,2024,27,Philadelphia Phillies,10,Colorado Rockies,2,1
baseball,153471,2024-04-15T22:50:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,17,Los Angeles Angels,3,7
baseball,153472,2024-04-15T23:07:00Z,FT,1,MLB,2024,36,Toronto Blue Jays,25,New York Yankees,3,1
baseball,153473,2024-04-15T23:10:00Z,FT,1,MLB,2024,24,New York Mets,28,Pittsburgh Pirates,6,3
baseball,153474,2024-04-15T23:40:00Z,FT,1,MLB,2024,7,Chicago White Sox,16,Kansas City Royals,0,2
baseball,153475,2024-04-15T23:40:00Z,FT,1,MLB,2024,20,Milwaukee Brewers,30,San Diego Padres,3,7
baseball,153466,2024-04-16T00:10:00Z,FT,1,MLB,2024,15,Houston Astros,3,Atlanta Braves,1,6
baseball,153465,2024-04-16T01:40:00Z,FT,1,MLB,2024,2,Arizona Diamondbacks,6,Chicago Cubs,2,3
baseball,153476,2024-04-16T01:40:00Z,FT,1,MLB,2024,26,Oakland Athletics,33,St.Louis Cardinals,1,3
baseball,153477,2024-04-16T01:42:00Z,FT,1,MLB,2024,32,Seattle Mariners,8,Cincinnati Reds,9,3
baseball,153478,2024-04-16T02:10:00Z,FT,1,MLB,2024,18,Los Angeles Dodgers,37,Washington Nationals,4,6
baseball,153479,2024-04-16T17:10:00Z,FT,1,MLB,2024,12,Detroit Tigers,35,Texas Rangers,4,2
baseball,153482,2024-04-16T22:35:00Z,FT,1,MLB,2024,4,Baltimore Orioles,22,Minnesota Twins,11,3
baseball,153483,2024-04-16T22:40:00Z,FT,1,MLB,2024,19,Miami Marlins,31,San Francisco Giants,6,3
baseball,153484,2024-04-16T22:40:00Z,FT,1,MLB,2024,27,Philadelphia Phillies,10,Colorado Rockies,5,0
baseball,153485,2024-04-16T22:50:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,17,Los Angeles Angels,7,6
baseball,153486,2024-04-16T23:07:00Z,FT,1,MLB,2024,36,Toronto Blue Jays,25,New York Yankees,5,4
baseball,153487,2024-04-16T23:10:00Z,FT,1,MLB,2024,5,Boston Red Sox,9,Cleveland Guardians,7,10
baseball,153488,2024-04-16T23:10:00Z,FT,1,MLB,2024,24,New York Mets,28,Pittsburgh Pirates,3,1
baseball,153490,2024-04-16T23:40:00Z,FT,1,MLB,2024,20,Milwaukee Brewers,30,San Diego Padres,3,6
baseball,153480,2024-04-17T00:10:00Z,FT,1,MLB,2024,15,Houston Astros,3,Atlanta Braves,2,6
baseball,153481,2024-04-17T01:40:00Z,FT,1,MLB,2024,2,Arizona Diamondbacks,6,Chicago Cubs,12,11
baseball,153491,2024-04-17T01:40:00Z,FT,1,MLB,2024,26,Oakland Athletics,33,St.Louis Cardinals,2,3
baseball,153492,2024-04-17T01:40:00Z,FT,1,MLB,2024,32,Seattle Mariners,8,Cincinnati Reds,3,1
baseball,153493,2024-04-17T02:10:00Z,FT,1,MLB,2024,18,Los Angeles Dodgers,37,Washington Nationals,6,2
baseball,153494,2024-04-17T16:10:00Z,FT,1,MLB,2024,19,Miami Marlins,31,San Francisco Giants,1,3
baseball,153495,2024-04-17T17:05:00Z,FT,1,MLB,2024,4,Baltimore Orioles,22,Minnesota Twins,4,2
baseball,153496,2024-04-17T17:10:00Z,FT,1,MLB,2024,12,Detroit Tigers,35,Texas Rangers,4,5
baseball,153497,2024-04-17T17:10:00Z,FT,1,MLB,2024,20,Milwaukee Brewers,30,San Diego Padres,1,0
baseball,153498,2024-04-17T17:10:00Z,FT,1,MLB,2024,24,New York Mets,28,Pittsburgh Pirates,9,1
baseball,153499,2024-04-17T18:10:00Z,FT,1,MLB,2024,7,Chicago White Sox,16,Kansas City Royals,2,4
baseball,153504,2024-04-17T18:10:00Z,FT,1,MLB,2024,15,Houston Astros,3,Atlanta Braves,4,5
baseball,153500,2024-04-17T19:07:00Z,FT,1,MLB,2024,36,Toronto Blue Jays,25,New York Yankees,4,6
baseball,153501,2024-04-17T19:10:00Z,FT,1,MLB,2024,18,Los Angeles Dodgers,37,Washington Nationals,0,2
baseball,153502,2024-04-17T19:37:00Z,FT,1,MLB,2024,26,Oakland Athletics,33,St.Louis Cardinals,6,3
baseball,153503,2024-04-17T19:40:00Z,FT,1,MLB,2024,2,Arizona Diamondbacks,6,Chicago Cubs,3,5
baseball,153505,2024-04-17T20:10:00Z,FT,1,MLB,2024,32,Seattle Mariners,8,Cincinnati Reds,5,1
baseball,153489,2024-04-17T21:10:00Z,FT,1,MLB,2024,7,Chicago White Sox,16,Kansas City Royals,2,1
baseball,153506,2024-04-17T22:05:00Z,FT,1,MLB,2024,27,Philadelphia Phillies,10,Colorado Rockies,7,6
baseball,153507,2024-04-17T22:50:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,17,Los Angeles Angels,4,5
