sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
basketball,432368,2024-12-17T00:30:00Z,FT,12,NBA,2024-2025,134,Brooklyn Nets,137,Cleveland Cavaliers,101,130
basketball,432369,2024-12-17T00:30:00Z,FT,12,NBA,2024-2025,159,Toronto Raptors,136,Chicago Bulls,121,122
basketball,432370,2024-12-17T03:00:00Z,FT,12,NBA,2024-2025,157,Sacramento Kings,139,Denver Nuggets,129,130
basketball,432371,2024-12-17T03:30:00Z,FT,12,NBA,2024-2025,144,Los Angeles Clippers,160,Utah Jazz,144,107
basketball,414233,2024-12-20T00:00:00Z,FT,12,NBA,2024-2025,140,Detroit Pistons,160,Utah Jazz,119,126
basketball,414234,2024-12-20T00:00:00Z,FT,12,NBA,2024-2025,153,Orlando Magic,152,Oklahoma City Thunder,99,105
basketball,414235,2024-12-20T00:00:00Z,FT,12,NBA,2024-2025,161,Washington Wizards,135,Charlotte Hornets,123,114
basketball,414236,2024-12-20T00:30:00Z,FT,12,NBA,2024-2025,133,Boston Celtics,136,Chicago Bulls,108,117
basketball,414237,2024-12-20T00:30:00Z,FT,12,NBA,2024-2025,159,Toronto Raptors,134,Brooklyn Nets,94,101
basketball,414239,2024-12-20T01:00:00Z,FT,12,NBA,2024-2025,146,Memphis Grizzlies,141,Golden State Warriors,144,93
basketball,414240,2024-12-20T01:00:00Z,FT,12,NBA,2024-2025,142,Houston Rockets,150,New Orleans Pelicans,133,113
basketball,414243,2024-12-20T01:00:00Z,AOT,12,NBA,2024-2025,158,San Antonio Spurs,132,Atlanta Hawks,133,126
basketball,414241,2024-12-20T01:30:00Z,FT,12,NBA,2024-2025,138,Dallas Mavericks,144,Los Angeles Clippers,95,118
basketball,414242,2024-12-20T02:00:00Z,FT,12,NBA,2024-2025,155,Phoenix Suns,143,Indiana Pacers,111,120
basketball,414238,2024-12-20T02:30:00Z,FT,12,NBA,2024-2025,149,Minnesota Timberwolves,151,New York Knicks,107,133
basketball,414244,2024-12-20T03:00:00Z,FT,12,NBA,2024-2025,156,Portland Trail Blazers,139,Denver Nuggets,126,124
basketball,414245,2024-12-20T03:00:00Z,FT,12,NBA,2024-2025,157,Sacramento Kings,145,Los Angeles Lakers,100,113
basketball,414246,2024-12-21T00:00:00Z,FT,12,NBA,2024-2025,154,Philadelphia 76ers,135,Charlotte Hornets,108,98
basketball,414247,2024-12-21T00:30:00Z,FT,12,NBA,2024-2025,137,Cleveland Cavaliers,148,Milwaukee Bucks,124,101
basketball,414248,2024-12-21T01:00:00Z,FT,12,NBA,2024-2025,147,Miami Heat,152,Oklahoma City Thunder,97,104
basketball,414249,2024-12-21T23:00:00Z,FT,12,NBA,2024-2025,157,Sacramento Kings,145,Los Angeles Lakers,99,103
basketball,414250,2024-12-22T00:00:00Z,FT,12,NBA,2024-2025,153,Orlando Magic,147,Miami Heat,121,114
basketball,414251,2024-12-22T00:30:00Z,FT,12,NBA,2024-2025,132,Atlanta Hawks,146,Memphis Grizzlies,112,128
basketball,414252,2024-12-22T00:30:00Z,FT,12,NBA,2024-2025,134,Brooklyn Nets,160,Utah Jazz,94,105
basketball,414253,2024-12-22T01:00:00Z,FT,12,NBA,2024-2025,136,Chicago Bulls,133,Boston Celtics,98,123
basketball,414254,2024-12-22T01:00:00Z,FT,12,NBA,2024-2025,137,Cleveland Cavaliers,154,Philadelphia 76ers,126,99
basketball,414255,2024-12-22T01:00:00Z,FT,12,NBA,2024-2025,148,Milwaukee Bucks,161,Washington Wizards,112,101
